,0
0,不要隐瞒不怪你们，大不了我就地过年
1,
2,
3,赶紧别让聚集开会年底了
4,哪都不去最好
5,00以来……这个？？到底是这个时间段，还是这个时间以后
6,不要隐瞒 不怪你们，大不了我就地过年[允悲]
7,[話筒][話筒][話筒]
8,[doge][doge][doge]
9,赶紧别让聚集开会年底了
10,哪都不去最好[笑cry]
11,11🈷️4日的现在还要隔离[挖鼻]
12,路过也要隔离么？
13,陕西西安那个看不懂，什么叫15：00至24：00以来……这个？？到底是这个时间段，还是这个时间以后
14,形式主义的民主
15,确实是民主公开，落后国家根本就没有统计
16,确实民主，人家人民还游戏反对封锁打疫苗呢
17,形式主义的民主
18,连精选评论都不会，还敢称民主国家？
19,参加峰会的国家死于新冠占总数的82%，你确定不是因为全球大部分国家和地区都参加了？
20,确实是民主公开，落后国家根本就没有统计
21,确实民主，人家人民还游戏反对封锁打疫苗呢
22,[doge][doge]富人，精英人，财团的民主
23,民主的死亡，死亡的民主。
24,渔村机师不用集中隔离，一次阴性就随便走，建议继续封…广州啊，不好意思看错了，那没事了[doge]
25,花都这两天全员核酸检测[喵喵]
26,港府还不收紧这些地区人士入境[阴险]还是特殊照顾内地，内地要懂得感恩感谢hk[吃瓜][哈哈]
27,沒在花都區了，你消息還真靈通，黃浦區都沒消息
28,广州这例是货机机组，在外国不下机的，情况不一样，本次不知怎样染上的。
29,所以说是真的没有隔离[裂开]
30,就在最冷枝頭綻放 看見春天走向你我 雪花飄飄北風蕭蕭 天地一片蒼茫 一剪寒梅傲立雪中 只為伊人飄香
31,。。。。。。。。。
32,这广东制定政策的人脑子进水了吧。 防疫不就是纸糊的了？？？？
33,圖片評論 http://t.cn/A6xnyj9X
34,国际货运才有得免，我朋友是飞商务机，每次都要去花都住[笑cry]
35,这个是广州机场的工作人员
36,@卡卡罗特68880 儿子快出来讲两句[doge]
37,根据民航局《运输航空公司疫情防控技术指南(第8版)》 9.1.2.2 对于货运航班未下机的，执行任务期间严格按照指南防控要求做好个人防护，入境首次核酸检测阴性后，免于集中隔离，需进行健康监测 7 天，期间每隔 1 天开展 1 次核酸检测，可执行航班任务。
